time,amplitude
6221.965527048,502.0
6221.986206754,534.0
6222.009743248,589.0
6222.026959413,608.0
6222.047288932,600.0
6222.063899037,587.0
6222.084574384,574.0
6222.10478977,546.0
6222.125262131,520.0
6222.14573479,500.0
6222.166219007,486.0
6222.18672456,480.0
6222.207224684,479.0
6222.227669238,478.0
6222.248219356,469.0
6222.268649142,452.0
6222.289255692,440.0
6222.310118688,435.0
6222.330699481,436.0
6222.347048849,457.0
6222.367164745,492.0
6222.387415077,518.0
6222.40812603,547.0
6222.428589038,573.0
6222.44902944,592.0
6222.469786412,596.0
6222.490277188,595.0
6222.510306332,585.0
6222.530726496,569.0
6222.551515136,551.0
6222.571968324,533.0
6222.592505347,518.0
6222.61264244,508.0
6222.633041218,499.0
6222.649521146,501.0
6222.670006704,511.0
6222.690478466,508.0
6222.710975362,501.0
6222.731445735,495.0
6222.752179785,494.0
6222.772388167,499.0
6222.793395964,499.0
6222.813345883,495.0
6222.834060976,491.0
6222.854288186,490.0
6222.875509561,489.0
6222.895224407,483.0
6222.915779606,479.0
6222.932416018,483.0
6222.952766087,501.0
6222.97363168,503.0
6222.993557251,501.0
6223.014096331,503.0
6223.034955604,510.0
6223.055134135,512.0
6223.055502144,515.5326691871231
6223.055637669,525.4548675559697
6223.075580261,545.0
6223.096664166,575.0
6223.116737359,594.0
6223.137114594,604.0
6223.157359596,601.0
6223.178414995,591.0
6223.198373164,576.0
6223.219073544,560.0
6223.239497139,549.0
6223.255684157,539.0
6223.276705488,534.0
6223.296633847,525.0
6223.317373662,515.0
6223.337840276,509.0
6223.358747495,503.0
6223.378665816,504.0
6223.399136269,501.0
6223.419834402,492.0
6223.439921766,495.0
6223.460557993,500.0
6223.481144774,502.0
6223.501373507,499.0
6223.522091984,497.0
6223.542860561,489.0
6223.55878898,490.0
6223.579334558,498.0
6223.599685473,491.0
6223.620167009,480.0
6223.640903069,470.0
6223.661097662,465.0
6223.681591129,463.0
6223.702073613,475.0
6223.722543728,499.0
6223.743052339,533.0
6223.764081417,563.0
6223.764326665,577.2613480086205
6223.764405425,587.4345739427196
6223.784337204,600.0
6223.80451833,619.0
6223.824915038,616.0
6223.845380977,600.0
6223.866129496,584.0
6223.882304786,578.0
6223.903039757,570.0
6223.923711484,545.0
6223.943723579,517.0
6223.964504284,497.0
6223.984782591,489.0
6224.005158449,491.0
6224.025850402,496.0
6224.046419114,503.0
6224.066851662,506.0
6224.087071462,499.0
6224.108555542,496.0
6224.128225618,490.0
6224.1484679,494.0
6224.168870059,489.0
6224.185352229,486.0
6224.206097717,487.0
6224.226391601,489.0
6224.24698015,480.0
6224.267519534,467.0
6224.288005196,463.0
6224.30827346,460.0
6224.328695386,453.0
6224.349173264,453.0
6224.369934691,458.0
6224.390673619,461.0
6224.410928052,474.0
6224.431111168,498.0
6224.451875633,531.0
6224.452098091,549.1794026334885
6224.45238458,557.8105393031396
6224.472048014,569.0
6224.492435365,594.0
6224.509229071,612.0
6224.529398248,617.0
6224.549857064,597.0
6224.570365835,574.0
6224.591537734,546.0
6224.611845756,530.0
6224.631853291,518.0
6224.652296454,504.0
6224.672735614,495.0
6224.693629026,488.0
6224.713686242,478.0
6224.734415545,487.0
6224.754673835,490.0
6224.775744673,489.0
6224.791804912,490.0
6224.812219714,504.0
6224.832462257,510.0
6224.853161833,502.0
6224.874300943,489.0
6224.894053504,475.0
6224.914541707,468.0
6224.9349939,465.0
6224.955851594,461.0
6224.975930325,458.0
6224.996328055,454.0
6225.016908103,452.0
6225.037256415,454.0
6225.058262311,456.0
6225.078187539,461.0
6225.094695908,469.0
6225.115179617,490.0
6225.135616188,509.0
6225.156794669,534.0
6225.1569153,544.6484352262895
6225.156994414,549.0845046175573
6225.176709862,563.0
6225.197181107,594.0
6225.217782872,607.0
6225.238075243,604.0
6225.25885947,593.0
6225.2794657,579.0
6225.29955842,557.0
6225.31990669,535.0
6225.340324086,522.0
6225.360809651,508.0
6225.381263073,500.0
6225.401803296,492.0
6225.418449143,499.0
6225.439160394,510.0
6225.459246748,500.0
6225.479616965,497.0
6225.500133326,495.0
6225.520599093,490.0
6225.541247119,488.0
6225.561556733,495.0
6225.582148454,490.0
6225.602494106,483.0
6225.623298353,476.0
6225.643786556,469.0
6225.663978236,471.0
6225.684313314,462.0
6225.704849584,466.0
6225.721538097,471.0
6225.742011154,482.0
6225.762376755,473.0
6225.782816187,471.0
6225.803149261,470.0
6225.824107321,469.0
6225.844254001,485.0
6225.864565325,512.0
6225.885437852,533.0
6225.885556984,546.435884296866
6225.885890764,558.182464441233
6225.906116316,588.0
6225.926290239,632.0
6225.946811208,630.0
6225.966982665,615.0
6225.987430308,596.0
6226.008592633,572.0
6226.028466615,556.0
6226.045063477,547.0
6226.065408862,542.0
6226.085732316,519.0
6226.106777611,502.0
6226.126740786,494.0
6226.147211698,484.0
6226.167955274,484.0
6226.18833784,486.0
6226.208844556,488.0
6226.229126739,493.0
6226.249589887,489.0
6226.270066392,489.0
6226.290823922,493.0
6226.311122846,493.0
6226.327521785,492.0
6226.34798777,491.0
6226.368597595,480.0
6226.389381767,468.0
6226.409390958,464.0
6226.429819545,463.0
6226.450289364,455.0
6226.470784635,455.0
6226.491477073,459.0
6226.511830781,459.0
6226.532464756,464.0
6226.552696684,467.0
6226.573134495,483.0
6226.593606758,511.0
6226.61410541,540.0
6226.61420055,544.7984257828773
6226.614277594,544.5885458939839
6226.634741323,568.0
6226.651013971,624.0
6226.671615964,663.0
6226.691936105,660.0
6226.712458719,638.0
6226.732924706,604.0
6226.753386965,571.0
6226.774392396,546.0
6226.794390516,545.0
6226.814841006,515.0
6226.835555788,488.0
6226.855795047,469.0
6226.876589445,461.0
6226.89675757,459.0
6226.917146083,462.0
6226.933605372,474.0
6226.954113229,491.0
6226.97460937,498.0
6226.995062374,500.0
6227.015541695,498.0
6227.036160343,491.0
6227.056720556,481.0
6227.077215164,478.0
6227.097449796,474.0
6227.117979032,471.0
6227.138385648,470.0
6227.158881164,468.0
6227.179474401,469.0
6227.199816978,466.0
6227.220560287,463.0
6227.236707857,459.0
6227.257210875,476.0
6227.277899965,475.0
6227.298148823,488.0
6227.31883983,508.0
6227.339118554,546.0
6227.359630046,576.0
6227.359763625,593.6527268122596
6227.359886918,604.1540244675737
6227.380006499,609.0
6227.400604062,618.0
6227.421032552,616.0
6227.442089941,603.0
6227.462168319,586.0
6227.482757322,566.0
6227.502895586,543.0
6227.523353932,521.0
6227.54394442,498.0
6227.560228008,498.0
6227.580757517,501.0
6227.601530794,499.0
6227.621657102,492.0
6227.642101344,496.0
6227.662725368,493.0
6227.683333965,496.0
6227.703542485,494.0
6227.724049351,498.0
6227.744747711,502.0
6227.765043676,498.0
6227.785749869,494.0
6227.806561686,487.0
6227.826548513,483.0
6227.846787942,475.0
6227.863564484,473.0
6227.883813462,482.0
6227.904573588,474.0
6227.925638374,464.0
6227.945211889,460.0
6227.965949753,460.0
6227.986507268,468.0
6228.006653913,497.0
6228.027198208,538.0
6228.027471968,563.3189268494195
6228.027549563,575.6577412846442
6228.047665597,589.0
6228.068737185,618.0
